순번,지역,확진자수,지역발생수,사망자수
258,울산,4853,17,45
259,대전,6367,43,43
260,광주,4561,21,29
261,인천,13904,139,82
262,대구,14394,38,233
263,부산,12169,51,153
264,서울,89829,738,614
267,제주,2754,11,2
268,경남,10768,32,36
269,경북,7632,31,89
270,전남,2850,8,20
271,전북,3914,20,60
272,충남,8256,47,55
273,충북,5678,40,74
274,강원,5908,36,62
275,경기,80075,652,777
276,세종,1106,7,1
277,울산,4836,31,45
278,대전,6324,36,42
279,광주,4540,13,29
280,인천,13763,137,82
281,대구,14356,47,232
282,부산,12117,56,153
283,서울,89083,717,614
286,제주,2743,6,2
287,경남,10735,28,36
288,경북,7599,21,89
289,전남,2842,5,20
290,전북,3894,16,60
291,충남,8206,80,55
292,충북,5637,37,74
293,강원,5872,29,62
294,경기,79420,688,775
295,세종,1099,8,1
296,울산,4805,31,44
297,대전,6288,37,42
298,광주,4527,36,28
299,인천,13626,164,82
300,대구,14309,27,232
301,부산,12059,40,153
302,서울,88364,804,612
305,제주,2737,12,2
306,경남,10707,21,36
307,경북,7577,14,89
308,전남,2837,1,20
